date_info,name,title,content,rating
Reviewed in India on 8 March 2020,Balaji Sekar,Value gaming monitor,A very good value for money gaming monitor from acer,4.0 out of 5 stars
Reviewed in India on 15 September 2020,sourish deb,Nice product,"Nice product , I am happy",5.0 out of 5 stars
Reviewed in India on 31 January 2020,Geeta Deka,Wonderful product,Awesome amazing mind bobling experience,5.0 out of 5 stars
Reviewed in India on 1 March 2020,Aravinda Upadhya,GOOD,good,5.0 out of 5 stars
Reviewed in India on 23 June 2020,Shivam,Socho mat utha lo,Best in all,5.0 out of 5 stars
Reviewed in India on 9 June 2020,Adil,Best,Best for its price,5.0 out of 5 stars
Reviewed in India on 30 October 2019,Amazon Customer,Best for gaming,Good product. Its display is excellent.,5.0 out of 5 stars
Reviewed in India on 3 February 2021,lokesh,good,good,5.0 out of 5 stars
Reviewed in India on 31 January 2020,Rahul,Nice.,how to get 75 hz refresh rate.??,4.0 out of 5 stars
Reviewed in India on 11 February 2020,Amstrong,Super,Awesome,5.0 out of 5 stars
Reviewed in India on 22 October 2020,Satish panagrahi,Good product,Nice product,4.0 out of 5 stars
Reviewed in India on 3 November 2020,Arka,Upgrade from 1366x768,Great!,5.0 out of 5 stars
Reviewed in India on 7 July 2020,Joe mama,🥵,It’s perfect,5.0 out of 5 stars
Reviewed in India on 8 March 2020,vikram p.,Value for price,"Good service, good product",5.0 out of 5 stars
Reviewed in India on 21 June 2020,Rohan s ujjayanimutt,Nige,Good product,4.0 out of 5 stars
Reviewed in India on 2 November 2019,radhanshu sharma,Happy with the product,"Good for gaming , okish for movies",4.0 out of 5 stars
Reviewed in India on 1 March 2020,satyajit,Best in this price range,Best at this price,5.0 out of 5 stars
Reviewed in India on 24 February 2020,REJIN,look and input option best,best,5.0 out of 5 stars
Reviewed in India on 5 November 2019,Monti mukhi,Nice,Nice,5.0 out of 5 stars
Reviewed in India on 25 September 2019,s.p.chandru,Best budget gaming monitor,Just go for it,5.0 out of 5 stars
Reviewed in India on 8 September 2019,Gaurav,Simply best under this budget,Best for gaming.,5.0 out of 5 stars
Reviewed in India on 3 December 2019,Dinesh,Worth it,Nice....,5.0 out of 5 stars
Reviewed in India on 11 October 2019,Abhishek Kumar,Good,Good af,5.0 out of 5 stars
Reviewed in India on 4 July 2019,Dulichand,Better than lg,Better than any monitor under 10000 even better than ips lg and Samsung monitors comes with lot more features,5.0 out of 5 stars
Reviewed in India on 6 March 2020,Agent 47,A slight ghosting problem.,I brought this from a local store for the same price.. If you have a nvidia graphics card and using a hdmi port it wont support 75hz unless you customize the display settings. It will also have a ghosting problem. I suggest you buy asus instead. Unless you have AMD freesync supported graphics cards dont buy. It is good for everything else except the ghosting problem. I have a gt1030 and it has a ghosting problem. I dont know anything about other users so you should probably check some other reviews too.. In case you dont know what's ghosting see the second image. The black trail left behind by the first UFO of the top.,3.0 out of 5 stars
Reviewed in India on 14 July 2020,bhavesh s trivedi,Price is not stable.,"Keep prices stable at least for a day, in morning I see price is 10000/ after 4 hours price changes to 14000/.. Not good.",1.0 out of 5 stars
Reviewed in India on 12 March 2020,Subhadeep,Good monitor but have same issue,I am facing an issue while playing a game in full screen mode....the displays goes black..after the restart I am able to play games in full screen mode...idk whether monitor or amd drive bug,4.0 out of 5 stars
Reviewed in India on 14 November 2020,Roshinibala Kongbrailatpam,Good product..deserves 5star but it cancelled itself..,Good product although I gave 1 star..its bcz it canceled itself so I bought it from my local store though it was 1000rs more...overall good product,1.0 out of 5 stars
Reviewed in India on 24 June 2020,Eiminator figgzs,Great monitor for budget gamers,This is the best budget gaming monitors for budget gamers. The only problem is that you have to change the refresh rate by your own as it is locked at 60 hz when unboxed. All over nice monitor for this budget,5.0 out of 5 stars
Reviewed in India on 14 July 2020,Subhadip Palit,12.5k is too much..,12.5k is too much for this monitor... Under 10k its ok... Quality is good..,5.0 out of 5 stars
Reviewed in India on 25 January 2021,Shivam RANA,Va panel nice gameplay,One number product for gaming. And streaming on YouTube gorgeous product 🥰 you must buy it this is one of the most branded monitor,5.0 out of 5 stars
Reviewed in India on 4 March 2021,DEVENDRA SINGH,Picture quality and screen,"Super monitor in this price I can play gta5 in 75hz , pubg,and many of the games you should buy it for gaming",5.0 out of 5 stars
Reviewed in India on 1 November 2019,Raghav taneja,G,Really good product. No screen tearing,5.0 out of 5 stars
Reviewed in India on 1 December 2019,Palpable Fruit,Great for home office setup.,"Currently using for home office for work. Has a 75 Hz display, pretty clear, minimal backlight bleed. Easy on the eyes Although the minimum brightness is be too bright for me.",5.0 out of 5 stars
Reviewed in India on 17 September 2019,Chinmoy Borgohain,Thanks Amazon,Very good seller is aslow good with good packing nice... picture quality is good,5.0 out of 5 stars
